Germany,India,Italy,South Korea,New Zealand,Singapore,Somalia,Uganda,UK,USA
200456,936181,243344,13551,1547,46630,3076,1040,292931,3438244
200890,968857,243506,13612,1548,46878,3083,1043,293469,3506364
201450,1003832,243736,13672,1549,47126,3106,1051,294116,3582184
202045,1039084,243967,13711,1550,47453,3106,1056,294803,3654445
202426,1077781,244216,13745,1553,47655,3111,1062,295632,3716980
202735,1118206,244434,13771,1554,47912,3119,1065,296358,3777456
203325,1155338,244624,13816,1555,48035,3130,1069,296944,3839546
203717,1193078,244752,13879,1555,48434,3135,1072,297389,3904066
204276,1238798,245032,13938,1555,48744,3161,1075,297952,3974630
204881,1288108,245338,13979,1556,49098,3171,1079,298731,4043070
205623,1337024,245590,14092,1556,49375,3171,1089,299500,4116393
206278,1385635,245864,14150,1556,49888,3178,1103,300270,4181308
206667,1435616,246118,14175,1556,50369,3178,1115,301020,4236083
207112,1480073,246286,14203,1557,50838,3196,1128,301708,4292934
207707,1531669,246488,14251,1559,51197,3212,1135,302261,4359391
208546,1581963,246776,14269,1560,51531,3212,1140,303063,4431244
209535,1634746,247158,14305,1560,51809,3212,1147,303910,4498701
210399,1695988,247537,14336,1562,52205,3212,1154,304793,4567420
211005,1750723,247832,14366,1565,52512,3212,1176,305562,4623604
211220,1803695,248070,14389,1567,52825,3220,1182,306309,4669149
212111,1855745,248229,14423,1567,53051,3220,1195,307251,4714678
212828,1908254,248419,14456,1569,53346,3220,1203,307926,4773479
214113,1964536,248803,14499,1569,54254,3227,1213,308832,4827936
215039,2027074,249204,14519,1569,54555,3227,1223,309796,4887293
216196,2088611,249756,14562,1569,54797,3227,1254,310696,4946590
216903,2153010,250103,14598,1569,54929,3227,1267,311461,5000709
217288,2215074,250566,14626,1569,55104,3227,1283,312574,5046463
218508,2268675,250825,14660,1570,55292,3227,1297,313392,5094087
219540,2329638,251237,14714,1570,55353,3227,1313,314542,5142088
220859,2396637,251713,14770,1589,55395,3227,1332,315581,5198137
222281,2461190,252235,14873,1602,55497,3227,1353,316729,5249451
223791,2525922,252809,15039,1609,55580,3250,1385,318190,5314791
224488,2589952,253438,15318,1622,55661,3250,1434,319232,5361712
225007,2647663,253915,15515,1631,55747,3256,1500,320343,5400904
226700,2702681,254235,15761,1643,55838,3257,1560,321064,5437580
228120,2767253,254636,16058,1649,55938,3257,1603,322177,5482614
229706,2836925,255278,16346,1654,56031,3265,1656,323008,5529973
231292,2905825,256118,16670,1665,56099,3265,1750,324203,5574013
233029,2975701,257065,17002,1671,56216,3265,1848,325263,5622842
233861,3044940,258136,17399,1674,56266,3269,2166,326595,5665887
234494,3106348,259345,17665,1683,56353,3269,2263,327643,5700119
236122,3167323,260298,17945,1690,56404,3269,2362,328620,5736641
237583,3224547,261174,18265,1695,56435,3275,2426,329821,5777001
239010,3310234,262540,18706,1702,56495,3275,2524,330967,5822167
240571,3387500,263949,19077,1714,56572,3275,2679,332509,5867547
242126,3463972,265409,19400,1727,56666,3275,2756,333806,5914395
242835,3542733,266853,19699,1729,56717,3310,2847,334916,5957126
243305,3621245,268218,19947,1738,56771,3310,2928,336668,5991507
244802,3691166,269214,20182,1752,56812,3310,2972,338083,6026895
246015,3769523,270189,20449,1757,56852,3310,3037,339415,6068759
247411,3853406,271515,20644,1759,56860,3310,3112,340929,6109773
248840,3936747,272912,20842,1764,56908,3310,3288,342708,6153983
250283,4023179,274644,21010,1767,56948,3332,3353,344686,6204376
251058,4113811,276338,21177,1772,56982,3332,3539,346513,6247464
251728,4204613,277634,21296,1776,57022,3362,3667,349500,6278633
253626,4280422,278784,21432,1782,57044,3362,3776,352453,6302200
254957,4370128,280153,21588,1788,57091,3371,3900,354934,6329593
256433,4465863,281583,21743,1792,57166,3371,4101,357615,6363650
258149,4562414,283180,21919,1793,57229,3371,4291,360546,6399723
259735,4659984,284796,22055,1795,57315,3376,4377,364090,6447501
